stock_key,market,code,official_name
stock:000516.SZ,SZ,000516,国际医学
stock:000517.SZ,SZ,000517,荣安地产
stock:000518.SZ,SZ,000518,*ST四环
stock:000519.SZ,SZ,000519,中兵红箭
stock:00052.HK,HK,00052,大快活集团
stock:000520.SZ,SZ,000520,凤凰航运
stock:000521.SZ,SZ,000521,长虹美菱
stock:000523.SZ,SZ,000523,红棉股份
stock:000524.SZ,SZ,000524,岭南控股
stock:000525.SZ,SZ,000525,红太阳
stock:000526.SZ,SZ,000526,学大教育
stock:000528.SZ,SZ,000528,柳工
stock:000529.SZ,SZ,000529,广弘控股
stock:00053.HK,HK,00053,国浩集团
stock:000530.SZ,SZ,000530,冰山冷热
stock:000531.SZ,SZ,000531,穗恒运A
stock:000532.SZ,SZ,000532,华金资本
stock:000533.SZ,SZ,000533,顺钠股份
stock:000534.SZ,SZ,000534,万泽股份
stock:000536.SZ,SZ,000536,华映科技
stock:000537.SZ,SZ,000537,绿发电力
stock:000538.SZ,SZ,000538,云南白药
stock:000539.SZ,SZ,000539,粤电力A
stock:000541.SZ,SZ,000541,佛山照明
stock:000543.SZ,SZ,000543,皖能电力
stock:000544.SZ,SZ,000544,中原环保
stock:000545.SZ,SZ,000545,金浦钛业
stock:000546.SZ,SZ,000546,金圆股份
stock:000547.SZ,SZ,000547,航天发展
stock:000548.SZ,SZ,000548,湖南投资
stock:00055.HK,HK,00055,中星集团控股
stock:000550.SZ,SZ,000550,江铃汽车
stock:000551.SZ,SZ,000551,创元科技
stock:000552.SZ,SZ,000552,甘肃能化
stock:000553.SZ,SZ,000553,安道麦A
stock:000554.SZ,SZ,000554,泰山石油
stock:000555.SZ,SZ,000555,神州信息
stock:000557.SZ,SZ,000557,西部创业
stock:000558.SZ,SZ,000558,天府文旅
stock:000559.SZ,SZ,000559,万向钱潮
stock:000560.SZ,SZ,000560,我爱我家
stock:000561.SZ,SZ,000561,烽火电子
stock:000563.SZ,SZ,000563,陕国投A
stock:000564.SZ,SZ,000564,供销大集
stock:000565.SZ,SZ,000565,渝三峡A
stock:000566.SZ,SZ,000566,海南海药
stock:000567.SZ,SZ,000567,海德股份
stock:000568.SZ,SZ,000568,泸州老窖
stock:00057.HK,HK,00057,震雄集团
stock:000570.SZ,SZ,000570,苏常柴A
stock:000571.SZ,SZ,000571,新大洲A
stock:000572.SZ,SZ,000572,海马汽车
stock:000573.SZ,SZ,000573,粤宏远A
stock:000576.SZ,SZ,000576,甘化科工
stock:00058.HK,HK,00058,新威国际
stock:000581.SZ,SZ,000581,威孚高科
stock:000582.SZ,SZ,000582,北部湾港
stock:000586.SZ,SZ,000586,汇源通信
stock:000589.SZ,SZ,000589,贵州轮胎
stock:00059.HK,HK,00059,天誉置业
stock:000590.SZ,SZ,000590,古汉医药
stock:000591.SZ,SZ,000591,太阳能
stock:000592.SZ,SZ,000592,平潭发展
stock:000593.SZ,SZ,000593,德龙汇能
stock:000595.SZ,SZ,000595,*ST宝实
stock:000596.SZ,SZ,000596,古井贡酒
stock:000597.SZ,SZ,000597,东北制药
stock:000598.SZ,SZ,000598,兴蓉环境
stock:000599.SZ,SZ,000599,青岛双星
stock:00060.HK,HK,00060,香港食品投资
stock:000600.SZ,SZ,000600,建投能源
stock:000601.SZ,SZ,000601,韶能股份
stock:000603.SZ,SZ,000603,盛达资源
stock:000605.SZ,SZ,000605,渤海股份
stock:000607.SZ,SZ,000607,华媒控股
stock:000608.SZ,SZ,000608,*ST阳光
stock:000609.SZ,SZ,000609,ST中迪
stock:00061.HK,HK,00061,绿领控股
stock:000610.SZ,SZ,000610,西安旅游
stock:000612.SZ,SZ,000612,焦作万方
stock:000615.SZ,SZ,000615,*ST美谷
stock:000617.SZ,SZ,000617,中油资本
stock:000619.SZ,SZ,000619,海螺新材
stock:00062.HK,HK,00062,载通
stock:000620.SZ,SZ,000620,盈新发展
stock:000623.SZ,SZ,000623,吉林敖东
stock:000625.SZ,SZ,000625,长安汽车
stock:000626.SZ,SZ,000626,远大控股
stock:000628.SZ,SZ,000628,高新发展
stock:000629.SZ,SZ,000629,钒钛股份
stock:00063.HK,HK,00063,中亚烯谷集团
stock:000630.SZ,SZ,000630,铜陵有色
stock:000631.SZ,SZ,000631,顺发恒能
stock:000632.SZ,SZ,000632,三木集团
stock:000633.SZ,SZ,000633,合金投资
stock:000635.SZ,SZ,000635,英力特
stock:000636.SZ,SZ,000636,风华高科
stock:000637.SZ,SZ,000637,茂化实华
stock:000638.SZ,SZ,000638,*ST万方
stock:000639.SZ,SZ,000639,西王食品
stock:00064.HK,HK,00064,结好控股
stock:00065.HK,HK,00065,弘海高新资源
stock:000650.SZ,SZ,000650,仁和药业
stock:000651.SZ,SZ,000651,格力电器
stock:000652.SZ,SZ,000652,泰达股份
stock:000655.SZ,SZ,000655,金岭矿业
stock:000656.SZ,SZ,000656,*ST金科
stock:000657.SZ,SZ,000657,中钨高新
stock:000659.SZ,SZ,000659,珠海中富
stock:00066.HK,HK,00066,港铁公司
stock:000661.SZ,SZ,000661,长春高新
stock:000663.SZ,SZ,000663,永安林业
stock:000665.SZ,SZ,000665,湖北广电
stock:000668.SZ,SZ,000668,*ST荣控
stock:000669.SZ,SZ,000669,ST金鸿
stock:000670.SZ,SZ,000670,盈方微
stock:000672.SZ,SZ,000672,上峰水泥
stock:000676.SZ,SZ,000676,智度股份
stock:000677.SZ,SZ,000677,恒天海龙
stock:000678.SZ,SZ,000678,襄阳轴承
stock:000679.SZ,SZ,000679,大连友谊
stock:000680.SZ,SZ,000680,山推股份
stock:000681.SZ,SZ,000681,视觉中国
stock:000682.SZ,SZ,000682,东方电子
stock:000683.SZ,SZ,000683,博源化工
stock:000685.SZ,SZ,000685,中山公用
stock:000686.SZ,SZ,000686,东北证券
stock:000688.SZ,SZ,000688,国城矿业
stock:00069.HK,HK,00069,香格里拉（亚洲）
stock:000690.SZ,SZ,000690,宝新能源
stock:000691.SZ,SZ,000691,*ST亚太
stock:000692.SZ,SZ,000692,惠天热电
stock:000695.SZ,SZ,000695,滨海能源
stock:000697.SZ,SZ,000697,ST炼石
stock:000698.SZ,SZ,000698,ST沈化
stock:00070.HK,HK,00070,金粤控股
stock:000700.SZ,SZ,000700,模塑科技
stock:000701.SZ,SZ,000701,厦门信达
stock:000702.SZ,SZ,000702,正虹科技
stock:000703.SZ,SZ,000703,恒逸石化
stock:000705.SZ,SZ,000705,浙江震元
stock:000707.SZ,SZ,000707,双环科技
stock:000708.SZ,SZ,000708,中信特钢
stock:000709.SZ,SZ,000709,河钢股份
stock:00071.HK,HK,00071,美丽华酒店
stock:000710.SZ,SZ,000710,贝瑞基因
stock:000711.SZ,SZ,000711,ST京蓝
stock:000712.SZ,SZ,000712,锦龙股份
stock:000713.SZ,SZ,000713,国投丰乐
stock:000715.SZ,SZ,000715,中兴商业
stock:000716.SZ,SZ,000716,黑芝麻
stock:000717.SZ,SZ,000717,中南股份
stock:000718.SZ,SZ,000718,苏宁环球
stock:000719.SZ,SZ,000719,中原传媒
stock:00072.HK,HK,00072,超媒体控股
stock:000720.SZ,SZ,000720,新能泰山
stock:000721.SZ,SZ,000721,西安饮食
stock:000722.SZ,SZ,000722,湖南发展
stock:000723.SZ,SZ,000723,美锦能源
stock:000725.SZ,SZ,000725,京东方A
stock:000726.SZ,SZ,000726,鲁泰A
stock:000727.SZ,SZ,000727,冠捷科技
stock:000728.SZ,SZ,000728,国元证券
stock:000729.SZ,SZ,000729,燕京啤酒
stock:00073.HK,HK,00073,亚洲果业
stock:000731.SZ,SZ,000731,四川美丰
stock:000733.SZ,SZ,000733,振华科技
stock:000735.SZ,SZ,000735,罗牛山
stock:000736.SZ,SZ,000736,*ST中地
stock:000737.SZ,SZ,000737,北方铜业
stock:000738.SZ,SZ,000738,航发控制
stock:000739.SZ,SZ,000739,普洛药业
stock:00075.HK,HK,00075,渝太地产
stock:000750.SZ,SZ,000750,国海证券
stock:000751.SZ,SZ,000751,锌业股份
stock:000752.SZ,SZ,000752,ST西发
stock:000753.SZ,SZ,000753,漳州发展
stock:000755.SZ,SZ,000755,山西高速
stock:000756.SZ,SZ,000756,新华制药
stock:000757.SZ,SZ,000757,浩物股份
stock:000758.SZ,SZ,000758,中色股份
stock:000759.SZ,SZ,000759,中百集团
stock:00076.HK,HK,00076,谊砾控股
stock:000761.SZ,SZ,000761,本钢板材
stock:000762.SZ,SZ,000762,西藏矿业
stock:000766.SZ,SZ,000766,通化金马
stock:000767.SZ,SZ,000767,晋控电力
stock:000768.SZ,SZ,000768,中航西飞
stock:00077.HK,HK,00077,进智公共交通
stock:000776.SZ,SZ,000776,广发证券
stock:000777.SZ,SZ,000777,中核科技
stock:000778.SZ,SZ,000778,新兴铸管
stock:000779.SZ,SZ,000779,甘咨询
stock:00078.HK,HK,00078,REGALINT'L
stock:000782.SZ,SZ,000782,恒申新材
stock:000783.SZ,SZ,000783,长江证券
stock:000785.SZ,SZ,000785,居然智家
stock:000786.SZ,SZ,000786,北新建材
stock:000788.SZ,SZ,000788,北大医药
stock:000789.SZ,SZ,000789,万年青
stock:00079.HK,HK,00079,世纪建业
stock:000790.SZ,SZ,000790,华神科技
stock:000791.SZ,SZ,000791,甘肃能源
stock:000792.SZ,SZ,000792,盐湖股份
stock:000793.SZ,SZ,000793,*ST华闻
stock:000795.SZ,SZ,000795,英洛华
stock:000796.SZ,SZ,000796,凯撒旅业
stock:000797.SZ,SZ,000797,中国武夷
stock:000798.SZ,SZ,000798,中水渔业
stock:000799.SZ,SZ,000799,酒鬼酒
stock:000800.SZ,SZ,000800,一汽解放
stock:000801.SZ,SZ,000801,四川九洲
stock:000802.SZ,SZ,000802,北京文化
stock:000803.SZ,SZ,000803,山高环能
